age,gender,education_level,job_title,years_of_experience,salary,experience_per_age,seniority,age_group
32,male,bachelor's,software engineer,5,90000,0.15625,mid,mid_age
28,female,master's,data analyst,3,65000,0.10714285714285714,mid,junior
45,male,phd,senior manager,15,150000,0.3333333333333333,senior,senior
36,female,bachelor's,sales associate,7,60000,0.19444444444444445,mid,mid_age
52,male,master's,director,20,200000,0.38461538461538464,senior,senior
29,male,bachelor's,marketing analyst,2,55000,0.06896551724137931,junior,junior
42,female,master's,product manager,12,120000,0.2857142857142857,senior,mid_age
31,male,bachelor's,sales manager,4,80000,0.12903225806451613,mid,mid_age
26,female,bachelor's,marketing coordinator,1,45000,0.038461538461538464,junior,junior
38,male,phd,senior scientist,10,110000,0.2631578947368421,senior,mid_age
29,male,master's,software developer,3,75000,0.10344827586206896,mid,junior
48,female,bachelor's,human resources manager,18,140000,0.375,senior,senior
35,male,bachelor's,financial analyst,6,65000,0.17142857142857143,mid,mid_age
40,female,master's,project manager,14,130000,0.35,senior,mid_age
27,male,bachelor's,customer service representative,2,40000,0.07407407407407407,junior,junior
44,male,bachelor's,operations manager,16,125000,0.36363636363636365,senior,mid_age
33,female,master's,marketing manager,7,90000,0.21212121212121213,mid,mid_age
39,male,phd,senior engineer,12,115000,0.3076923076923077,senior,mid_age
25,female,bachelor's,data entry clerk,0,35000,0.0,junior,junior
51,male,bachelor's,sales director,22,180000,0.43137254901960786,senior,senior
34,female,master's,business analyst,5,80000,0.14705882352941177,mid,mid_age
47,male,master's,vp of operations,19,190000,0.40425531914893614,senior,senior
30,male,bachelor's,it support,2,50000,0.06666666666666667,junior,mid_age
36,female,bachelor's,recruiter,9,60000,0.25,mid,mid_age
41,male,master's,financial manager,13,140000,0.3170731707317073,senior,mid_age
28,female,bachelor's,social media specialist,3,45000,0.10714285714285714,mid,junior
37,female,master's,software manager,11,110000,0.2972972972972973,senior,mid_age
24,male,bachelor's,junior developer,1,40000,0.041666666666666664,junior,junior
43,female,phd,senior consultant,15,140000,0.3488372093023256,senior,mid_age
33,male,master's,product designer,6,90000,0.18181818181818182,mid,mid_age
50,male,bachelor's,ceo,25,250000,0.5,senior,senior
31,female,bachelor's,accountant,4,55000,0.12903225806451613,mid,mid_age
29,male,master's,data scientist,3,75000,0.10344827586206896,mid,junior
39,female,bachelor's,marketing specialist,10,65000,0.2564102564102564,senior,mid_age
46,male,phd,senior manager,20,170000,0.43478260869565216,senior,senior
27,male,bachelor's,technical writer,2,45000,0.07407407407407407,junior,junior
35,female,bachelor's,hr generalist,7,60000,0.2,mid,mid_age
42,male,master's,project engineer,14,115000,0.3333333333333333,senior,mid_age
26,female,bachelor's,customer success rep,1,40000,0.038461538461538464,junior,junior
49,male,bachelor's,sales executive,21,160000,0.42857142857142855,senior,senior
34,female,master's,ux designer,5,80000,0.14705882352941177,mid,mid_age
48,male,master's,operations director,18,190000,0.375,senior,senior
30,male,bachelor's,network engineer,3,60000,0.1,mid,mid_age
36,female,bachelor's,administrative assistant,8,45000,0.2222222222222222,mid,mid_age
41,male,master's,strategy consultant,13,130000,0.3170731707317073,senior,mid_age
28,female,bachelor's,copywriter,2,40000,0.07142857142857142,junior,junior
32,male,bachelor's,account manager,5,75000,0.15625,mid,mid_age
45,female,master's,director of marketing,16,180000,0.35555555555555557,senior,senior
38,male,phd,senior scientist,11,120000,0.2894736842105263,senior,mid_age
25,male,bachelor's,help desk analyst,0,35000,0.0,junior,junior
51,female,bachelor's,customer service manager,22,130000,0.43137254901960786,senior,senior
33,male,master's,business intelligence analyst,7,85000,0.21212121212121213,mid,mid_age
40,female,bachelor's,event coordinator,12,60000,0.3,senior,mid_age
47,male,master's,vp of finance,19,200000,0.40425531914893614,senior,senior
29,female,bachelor's,graphic designer,3,50000,0.10344827586206896,mid,junior
36,male,bachelor's,sales manager,9,95000,0.25,mid,mid_age
27,female,master's,ux researcher,2,65000,0.07407407407407407,junior,junior
43,male,phd,senior engineer,17,140000,0.3953488372093023,senior,mid_age
30,female,bachelor's,social media manager,4,55000,0.13333333333333333,mid,mid_age
35,male,master's,product manager,7,105000,0.2,mid,mid_age
51,female,master's,director of operations,23,170000,0.45098039215686275,senior,senior
29,male,bachelor's,marketing analyst,3,50000,0.10344827586206896,mid,junior
40,female,bachelor's,human resources manager,12,80000,0.3,senior,mid_age
47,male,phd,senior data scientist,21,180000,0.44680851063829785,senior,senior
26,male,bachelor's,junior accountant,1,35000,0.038461538461538464,junior,junior
38,female,master's,digital marketing manager,10,90000,0.2631578947368421,senior,mid_age
46,male,bachelor's,it manager,19,120000,0.41304347826086957,senior,senior
31,female,bachelor's,customer service representative,5,45000,0.16129032258064516,mid,mid_age
34,male,master's,business development manager,8,90000,0.23529411764705882,mid,mid_age
49,female,master's,senior financial analyst,18,150000,0.3673469387755102,senior,senior
33,male,bachelor's,web developer,6,65000,0.18181818181818182,mid,mid_age
39,female,bachelor's,recruiter,11,70000,0.28205128205128205,senior,mid_age
45,male,phd,research director,16,190000,0.35555555555555557,senior,senior
28,male,bachelor's,technical support specialist,2,40000,0.07142857142857142,junior,junior
42,female,master's,creative director,14,120000,0.3333333333333333,senior,mid_age
37,male,bachelor's,project manager,10,95000,0.2702702702702703,senior,mid_age
50,female,bachelor's,operations manager,22,160000,0.44,senior,senior
32,male,master's,senior software engineer,6,100000,0.1875,mid,mid_age
48,female,master's,human resources director,20,180000,0.4166666666666667,senior,senior
30,female,bachelor's,content marketing manager,3,55000,0.1,mid,mid_age
36,male,bachelor's,technical recruiter,8,70000,0.2222222222222222,mid,mid_age
41,female,master's,data analyst,13,80000,0.3170731707317073,senior,mid_age
25,male,bachelor's,sales representative,0,30000,0.0,junior,junior
52,male,phd,chief technology officer,24,250000,0.46153846153846156,senior,senior
29,female,bachelor's,junior designer,2,40000,0.06896551724137931,junior,junior
34,female,master's,financial advisor,10,95000,0.29411764705882354,senior,mid_age
27,male,bachelor's,junior account manager,2,45000,0.07407407407407407,junior,junior
40,female,bachelor's,hr generalist,15,80000,0.375,senior,mid_age
46,male,master's,senior project manager,21,135000,0.45652173913043476,senior,senior
31,female,bachelor's,marketing coordinator,6,55000,0.1935483870967742,mid,mid_age
36,male,phd,principal scientist,11,120000,0.3055555555555556,senior,mid_age
29,female,bachelor's,sales associate,3,40000,0.10344827586206896,mid,junior
43,male,bachelor's,supply chain manager,18,105000,0.4186046511627907,senior,mid_age
52,female,master's,senior marketing manager,25,170000,0.4807692307692308,senior,senior
33,male,bachelor's,business analyst,7,75000,0.21212121212121213,mid,mid_age
39,female,bachelor's,training specialist,12,65000,0.3076923076923077,senior,mid_age
47,male,phd,research scientist,22,160000,0.46808510638297873,senior,senior
26,male,bachelor's,junior software developer,1,35000,0.038461538461538464,junior,junior
38,female,master's,public relations manager,10,90000,0.2631578947368421,senior,mid_age
