Unnamed: 0,Date,Subcategory,Note,Amount,Income/Expense,Currency,Amount_log,Amount_scaled,Type_Encoded,Month,Day,DayOfWeek,Is_Egyptian_Weekend,Quarter,Month_Part,Category_apparel,Category_beauty,Category_bonus,Category_cook,Category_culture,Category_dividend earned on shares,Category_documents,Category_education,Category_equity mutual fund a,Category_equity mutual fund b,Category_equity mutual fund c,Category_equity mutual fund d,Category_equity mutual fund e,Category_equity mutual fund f,Category_family,Category_festivals,Category_fixed deposit,Category_food,Category_garbage disposal,Category_gift,Category_gpay reward,Category_grooming,Category_health,Category_household,Category_interest,Category_investment,Category_life insurance,Category_maid,Category_maturity amount,Category_money transfer,Category_other,Category_petty cash,Category_public provident fund,Category_recurring deposit,Category_rent,Category_salary,Category_saving bank account 1,Category_saving bank account 2,Category_scrap,Category_self-development,Category_share market,Category_small cap fund 1,Category_small cap fund 2,Category_social life,Category_subscription,Category_tax refund,Category_tourism,Category_transportation,Category_water (jar /tanker),Mode_credit card,Mode_debit card,Mode_equity mutual fund a,Mode_equity mutual fund b,Mode_equity mutual fund c,Mode_equity mutual fund d,Mode_fixed deposit,Mode_recurring deposit,Mode_saving bank account 1,Mode_saving bank account 2,Mode_share market trading
0,2018-09-20 12:04:08,train,2 Place 5 to Place 0,30.0,Expense,INR,3.4339872044851463,0.20611205813003702,0,9,20,3,0,3,Middle,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1,2018-09-20 12:03:15,snacks,Idli medu Vada mix 2 plates,60.0,Expense,INR,4.110873864173311,0.2658517177470815,0,9,20,3,0,3,Middle,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2018-09-19 00:00:00,netflix,1 month subscription,199.0,Expense,INR,5.298317366548036,0.37065134650474885,0,9,19,2,0,3,Middle,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
3,2018-09-17 23:41:17,mobile service provider,Data booster pack,19.0,Expense,INR,2.995732273553991,0.16743320396059602,0,9,17,0,0,3,Middle,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
4,2018-09-16 17:15:08,ganesh pujan,Ganesh idol,251.0,Expense,INR,5.529429087511423,0.3910484622496841,0,9,16,6,0,3,Middle,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,2018-09-15 06:34:17,tata sky,Permanent Residence - Tata Play recharge,200.0,Expense,INR,5.303304908059076,0.3710915295515423,0,9,15,5,1,3,Middle,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
6,2018-09-14 05:39:17,auto,Place 2 station to Permanent Residence,50.0,Expense,INR,3.9318256327243257,0.2500495442979492,0,9,14,4,1,3,Middle,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
7,2018-09-13 21:35:15,train,2 Place 0 to Place 3,40.0,Expense,INR,3.713572066704308,0.23078724453531435,0,9,13,3,0,3,Middle,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
8,2018-09-13 21:01:47,unknown,HBR 2 Months subscription,83.0,Expense,INR,4.430816798843313,0.29408876709721865,0,9,13,3,0,3,Middle,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
9,2018-09-13 21:01:32,grocery,1kg atta,46.0,Expense,INR,3.8501476017100584,0.24284092568928783,0,9,13,3,0,3,Middle,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
